LecturerID,AccountNumber,AccountType,FirstName,MiddleName,LastName,Email,Password,DepartmentID,CoursesTaught
300000000,LEC300000000,Lecturer,Sergio,Gabriela,Mckee,Sergio.Mckee@uwimona.uwi.jm,08#E_5jV@i,1004,"['EDTL3018', 'EDIT3825', 'EDLA3106', 'ECON3040', 'EDMC1001']"
300000001,LEC300000001,Lecturer,Maria,Alexandria,Mckee,Maria.Mckee@uwimona.uwi.jm,v4&sWLzO)E,1000,"['COMP2190', 'COMP3702', 'EDMC1002']"
300000002,LEC300000002,Lecturer,Meghan,Hunter,Mckee,Meghan.Mckee@uwimona.uwi.jm,q&R01Tvx!T,1003,['EDME1103']
300000003,LEC300000003,Lecturer,Courtney,Alexandria,Mckee,Courtney.Mckee@uwimona.uwi.jm,g7!IA8uc@k,1002,"['EDLA2105', 'ECON1004', 'EDPS1003']"
300000004,LEC300000004,Lecturer,Audrey,Savannah,Mckee,Audrey.Mckee@uwimona.uwi.jm,fB#88HWm^D,1000,"['COMP3912', 'ENGR1000', 'EDRS2007', 'EDTL3020', 'EDTL1020']"
300000005,LEC300000005,Lecturer,Rhonda,Savannah,Mckee,Rhonda.Mckee@uwimona.uwi.jm,4!6#Zipb+y,1004,['EDCU2013']
300000006,LEC300000006,Lecturer,Marissa,Brad,Mckee,Marissa.Mckee@uwimona.uwi.jm,egjEl0ZN%9,1001,"['EDHE3904', 'EDGC2010', 'EDTL3021', 'MATH6623', 'EDEA2305']"
300000007,LEC300000007,Lecturer,Michelle,Gail,Mckee,Michelle.Mckee@uwimona.uwi.jm,&WL5B$Dbd2,1004,"['ELET2530', 'EDHE3908', 'EDGC2010']"
300000008,LEC300000008,Lecturer,Danielle,Chase,Mckee,Danielle.Mckee@uwimona.uwi.jm,233@PuU9x&,1003,"['MDPH6135', 'ECON1003', 'EDHE2912']"
300000009,LEC300000009,Lecturer,Martha,Nicolas,Mckee,Martha.Mckee@uwimona.uwi.jm,4E3wbSkP&o,1003,"['EDSE2712', 'EDSC2407', 'INFO3105', 'EDLA2103']"
300000010,LEC300000010,Lecturer,Pam,Connor,Mckee,Pam.Mckee@uwimona.uwi.jm,%9knMYjS&I,1003,"['EDLS3603', 'ECON3051', 'EDLA2106']"
300000011,LEC300000011,Lecturer,Vanessa,Sheri,Mckee,Vanessa.Mckee@uwimona.uwi.jm,%X1Kulo(EG,1001,['EDLS2605']
300000012,LEC300000012,Lecturer,Virginia,Hunter,Mckee,Virginia.Mckee@uwimona.uwi.jm,8yNBxBV7)S,1004,"['PHYS2561', 'ECON3050', 'EDMC2201']"
300000013,LEC300000013,Lecturer,Monique,Chloe,Mckee,Monique.Mckee@uwimona.uwi.jm,(E72&@Kp@H,1002,"['STAT3002', 'EDEA3305', 'EDMC2203']"
300000014,LEC300000014,Lecturer,Sabrina,Darlene,Mckee,Sabrina.Mckee@uwimona.uwi.jm,^_UpQ6lYm1,1002,"['ECNG1012', 'EDMC2214']"
300000015,LEC300000015,Lecturer,Madeline,Darlene,Mckee,Madeline.Mckee@uwimona.uwi.jm,se0O1KLu+3,1001,"['EDHE2912', 'ECON3010', 'EDPH2024', 'EDHE3905', 'EDMC2216']"
300000016,LEC300000016,Lecturer,Kiara,Francis,Mckee,Kiara.Mckee@uwimona.uwi.jm,n84SvoBg%R,1003,"['SWEN3185', 'ELET2415', 'EDME2006']"
300000017,LEC300000017,Lecturer,George,Eduardo,Mckee,George.Mckee@uwimona.uwi.jm,397Pm)Jc_9,1003,"['EDTL1020', 'EDME2202']"
300000018,LEC300000018,Lecturer,Loretta,Clifford,Mckee,Loretta.Mckee@uwimona.uwi.jm,yfq5OMRrq*,1000,"['INFO3105', 'EDHE2908', 'EDSS3911', 'EDPS2003']"
300000019,LEC300000019,Lecturer,Jenna,Daisy,Mckee,Jenna.Mckee@uwimona.uwi.jm,&Ml506TjF+,1000,['EDRS2007']
300000020,LEC300000020,Lecturer,Omar,Colin,Mckee,Omar.Mckee@uwimona.uwi.jm,!(1ozVZfmJ,1004,['EDSS2903']
300000021,LEC300000021,Lecturer,Gerald,Eduardo,Mckee,Gerald.Mckee@uwimona.uwi.jm,^JIgYD)HJ5,1001,"['EDLS2606', 'EDHE3904', 'ECON3016', 'ECON3073', 'EDSS2904']"
300000022,LEC300000022,Lecturer,Brent,Arthur,Mckee,Brent.Mckee@uwimona.uwi.jm,Wf*2MCp1n#,1001,"['ECON1012', 'EDTK2025']"
300000023,LEC300000023,Lecturer,Candace,Alison,Mckee,Candace.Mckee@uwimona.uwi.jm,*5E*0XHeHS,1000,"['ECON2015', 'PHYS2561', 'COMP2201', 'EDAR3808']"
300000024,LEC300000024,Lecturer,Alyssa,Clinton,Mckee,Alyssa.Mckee@uwimona.uwi.jm,^D%qYw05*0,1002,"['EDLA3103', 'EDME3006', 'MDPH6280', 'EDME3205', 'EDEA3304']"
300000025,LEC300000025,Lecturer,Sergio,Francis,Mercado,Sergio.Mercado@uwimona.uwi.jm,M*77U*8aSq,1004,"['ECON2008', 'EDEA3306']"
300000026,LEC300000026,Lecturer,Maria,Marcia,Mercado,Maria.Mercado@uwimona.uwi.jm,_+2YS@pk0K,1000,['EDEA3308']
300000027,LEC300000027,Lecturer,Meghan,Gabriela,Mercado,Meghan.Mercado@uwimona.uwi.jm,(H0Lvbjme@,1001,"['EDMC3020', 'INFO3170', 'EDEA3306', 'EDLA2106', 'EDEA3316']"
300000028,LEC300000028,Lecturer,Courtney,Lee,Mercado,Courtney.Mercado@uwimona.uwi.jm,U_3jTb0CEz,1002,"['MATH1185', 'EDLA3104', 'EDLS3603', 'PHYS1422', 'EDEA3320']"
300000029,LEC300000029,Lecturer,Audrey,Eddie,Mercado,Audrey.Mercado@uwimona.uwi.jm,83XFEwPW)O,1003,"['MDPH6240', 'EDSS3911', 'SWEN3920', 'EDSC3408', 'EDHE3905']"
300000030,LEC300000030,Lecturer,Rhonda,Makayla,Mercado,Rhonda.Mercado@uwimona.uwi.jm,%Mng6@RiH1,1004,"['ELET2480', 'ECNG1000', 'EDIT3818']"
300000031,LEC300000031,Lecturer,Marissa,Rita,Mercado,Marissa.Mercado@uwimona.uwi.jm,71!5Wy!7R*,1002,"['PHYS1422', 'EDIT3822']"
300000032,LEC300000032,Lecturer,Michelle,Gabriela,Mercado,Michelle.Mercado@uwimona.uwi.jm,2&7MHG9x#d,1004,"['ECSE1102', 'EDSS2904', 'EDLA3104']"
300000033,LEC300000033,Lecturer,Danielle,Grant,Mercado,Danielle.Mercado@uwimona.uwi.jm,@3JF0bvuN5,1000,"['ELNG1101', 'MDPH6180', 'EDLA3106']"
300000034,LEC300000034,Lecturer,Martha,Arthur,Mercado,Martha.Mercado@uwimona.uwi.jm,i$9B+kiB&v,1002,"['EDSE2712', 'EDEA3306', 'ECON3030', 'ELET2530', 'EDLA3109']"
300000035,LEC300000035,Lecturer,Pam,Sheri,Mercado,Pam.Mercado@uwimona.uwi.jm,3UB0!Jg!)2,1000,"['MATH3404', 'ECON2000', 'ECON2024', 'EDLS3603']"
300000036,LEC300000036,Lecturer,Vanessa,Frederick,Mercado,Vanessa.Mercado@uwimona.uwi.jm,EPkn06ey7*,1001,"['ECON3016', 'EDMA3206']"
300000037,LEC300000037,Lecturer,Virginia,Alec,Mercado,Virginia.Mercado@uwimona.uwi.jm,tQ12Q@hmr^,1003,"['MATH3404', 'ECON3049', 'EDMC3201']"
300000038,LEC300000038,Lecturer,Monique,Arthur,Mercado,Monique.Mercado@uwimona.uwi.jm,7GP9J%Eq(5,1000,"['MDPH6260', 'PHYS2500', 'INFO3110', 'COMP2201', 'EDMC3204']"
300000039,LEC300000039,Lecturer,Sabrina,Gail,Mercado,Sabrina.Mercado@uwimona.uwi.jm,Wxtp57Qk$9,1000,"['EDEA3306', 'EDRS3019']"
300000040,LEC300000040,Lecturer,Madeline,Bianca,Mercado,Madeline.Mercado@uwimona.uwi.jm,99%YkpK6&v,1000,"['MATH1142', 'EDLA3104', 'EDSC3410']"
300000041,LEC300000041,Lecturer,Kiara,Beverly,Mercado,Kiara.Mercado@uwimona.uwi.jm,%VqAdUTv90,1004,"['ECON2020', 'EDSC3417']"
300000042,LEC300000042,Lecturer,George,Daisy,Mercado,George.Mercado@uwimona.uwi.jm,)$Ll4^fQ0Y,1004,"['COMP1220', 'PHYS2561', 'EDTL3018', 'EDSS3903']"
300000043,LEC300000043,Lecturer,Loretta,Ariana,Mercado,Loretta.Mercado@uwimona.uwi.jm,P$Lm7GrjWq,1003,"['EDHE2908', 'EDEA2304', 'EDSS3911']"
300000044,LEC300000044,Lecturer,Jenna,Daisy,Mercado,Jenna.Mercado@uwimona.uwi.jm,V^M8HlcqI*,1001,"['ECON3030', 'MDPH6190', 'EDTK3004']"
300000045,LEC300000045,Lecturer,Omar,Meghan,Mercado,Omar.Mercado@uwimona.uwi.jm,Yx!dc6LdrU,1003,"['COMP2190', 'EDTL3018']"
300000046,LEC300000046,Lecturer,Gerald,Chelsey,Mercado,Gerald.Mercado@uwimona.uwi.jm,YLP8_*mz+6,1004,"['MATH3423', 'EDTL3020']"
300000047,LEC300000047,Lecturer,Brent,Lee,Mercado,Brent.Mercado@uwimona.uwi.jm,+(lYSz(n5A,1003,"['STAT6630', 'EDME1103', 'EDMC1002', 'EDTL3021']"
300000048,LEC300000048,Lecturer,Candace,Beverly,Mercado,Candace.Mercado@uwimona.uwi.jm,+L&3RRn(RD,1002,"['MDPH6240', 'EDEA3307', 'EDME1103']"
300000049,LEC300000049,Lecturer,Alyssa,Arthur,Mercado,Alyssa.Mercado@uwimona.uwi.jm,lmHnGMbQ#4,1002,"['EDTK3004', 'ECON3040', 'MATH3424', 'COMP3161', 'EDTL1021']"
300000050,LEC300000050,Lecturer,Sergio,Clifford,Christensen,Sergio.Christensen@uwimona.uwi.jm,#!2WH#DoOi,1004,"['EDPS1003', 'EDEA2304']"
300000051,LEC300000051,Lecturer,Maria,Rita,Christensen,Maria.Christensen@uwimona.uwi.jm,li57YLbW&r,1004,['EDHE2908']
300000052,LEC300000052,Lecturer,Meghan,Katrina,Christensen,Meghan.Christensen@uwimona.uwi.jm,Dn_g7J*oj!,1001,"['MATH6622', 'EDPH2024', 'EDEA3307', 'EDIT3017']"
300000053,LEC300000053,Lecturer,Courtney,Dwayne,Christensen,Courtney.Christensen@uwimona.uwi.jm,k@4*Q_@kuv,1004,"['COMP1127', 'EDIT3821']"
300000054,LEC300000054,Lecturer,Audrey,Darlene,Christensen,Audrey.Christensen@uwimona.uwi.jm,a73JeWtk*b,1003,"['COMP2201', 'ELET2570', 'EDIT3823']"
300000055,LEC300000055,Lecturer,Rhonda,Chase,Christensen,Rhonda.Christensen@uwimona.uwi.jm,O%2T1Q(v+o,1002,"['EDEA3320', 'MDPH6130', 'ECNG1012', 'EDIT3825']"
300000056,LEC300000056,Lecturer,Marissa,Eduardo,Christensen,Marissa.Christensen@uwimona.uwi.jm,F)4Zrq4buE,1003,['EDLA2105']
300000057,LEC300000057,Lecturer,Michelle,Colin,Christensen,Michelle.Christensen@uwimona.uwi.jm,3+8)Zgb2@k,1001,"['ECON2024', 'EDTL3021', 'EDMC2203', 'PHYS2000', 'EDLS2606']"
300000058,LEC300000058,Lecturer,Danielle,Shari,Christensen,Danielle.Christensen@uwimona.uwi.jm,0)6$CREfz*,1003,['EDLS2607']
300000059,LEC300000059,Lecturer,Martha,Clifford,Christensen,Martha.Christensen@uwimona.uwi.jm,Wbpf9Rxg+6,1004,"['ECSE1102', 'EDSC3411', 'STAT3001', 'PHYS1421', 'EDMC2213']"
300000060,LEC300000060,Lecturer,Pam,Frederick,Christensen,Pam.Christensen@uwimona.uwi.jm,(10vnALlTt,1002,"['PHYS3000', 'COMP3912', 'PHYS2701', 'EDME2204']"
